Pixel Dungeon	點陣地城
The trap emits a piercing sound that echoes throughout the dungeon!	陷阱發出了迴盪在整座地城中的刺耳聲響！
lightning trap	閃電陷阱
You were killed by a discharge of a lightning trap...	你被閃電陷阱殺死了...
You don't know what is there.	你不知道有什麼東西。
Select a cell to examine	選擇一個區域來查看。
1	1
LibGDX port: Arcnor / Web port: nojus297	LibGDX 移植：Arcnor / 網頁移植：nojus297
Telegram port: @barboskich	Telegram 移植：@barboskich
Say thanks	表達感謝
Thank you!	謝謝！
This is a voluntary tip for the Telegram port. It never affects gameplay.	這是對 Telegram 移植版的自願贊助，絕不會影響遊戲體驗。
Support with Telegram Stars	使用 Telegram Stars 支持
Open @barboskich	開啟 @barboskich
Choose language	選擇語言
Key bindings	按鍵設定
Switch to fullscreen	切換至全螢幕
Switch to windowed	切換至視窗模式
Reset To Defaults	恢復預設設定
<None>	<無>
Press a key for "%s", or press %s to remove the binding.	請為「%s」按下一個按鍵，或按下%s移除綁定。
Hero Info	英雄資訊
Wait	等待
Search	搜索
Examine cell	查看格子
Resume motion	繼續移動
Backpack	背包
Quickslot	快捷欄
Attack	攻擊
Visible Enemies	可見敵人
Zoom In	放大
Zoom Out	縮小
Move North	向北移動
Move South	向南移動
Move West	向西移動
Move East	向東移動
Move NW	向西北移動
Move NE	向東北移動
Move SW	向西南移動
Move SE	向東南移動
Current Cell	目前格子
As you take a sip, you feel something changing inside you.	喝下一口後，你感覺體內有什麼正在改變。
Disguised as a %s	變裝成%s
You merged two wands into one %s.	你將兩根法杖融合成了%s。
Select a wand to merge	選擇一根要融合的法杖
Games played: 	遊玩次數：
