Play	Gioca
When you upgrade an enchanted weapon, there is a chance to destroy that enchantment.	Quando migliori un'arma incantata c'è la possibilità che l'incantesimo venga spezzato.
No weapons allowed in the presence of His Majesty!	Armi non concesse in presenza di Sua Maestà!
Pixel-Mart. Special prices for demon hunters!	Pixel-Mart. Offerte speciali per cacciatori di demoni!
The trap emits a piercing sound that echoes throughout the dungeon!	La trappola emette un suono acuto che riecheggia per tutto il dungeon!
lightning trap	Trappola fulminante
You were killed by a discharge of a lightning trap...	Sei stato ucciso dalla scarica di una trappola fulminante
You don't know what is there.	Non sai cosa ci sia.
Select a cell to examine	Scegli una casella da esaminare
LibGDX port: Arcnor / Web port: nojus297	Port LibGDX: Arcnor / port web: nojus297
Telegram port: @barboskich	Port Telegram: @barboskich
Welcome to the level %d of Pixel Dungeon!	Benvenuto al livello %d di Pixel Dungeon!
Welcome back to the level %d of Pixel Dungeon!	Bentornato al livello %d di Pixel Dungeon!
One does not simply leave Pixel Dungeon.	Non si esce semplicemente da Pixel Dungeon.
Exit Game	Esci dal gioco
\n\nThis beacon was set somewhere on the level %d of Pixel Dungeon.	\n\nQuesto faro è stato posizionato da qualche parte nel livello %d di Pixel Dungeon.
Eating the seed triggers its effect immediately.	Mangiare il seme attiva immediatamente l'effetto della pianta.
Tip: Long-press the wait button to rest until something interrupts you.	Suggerimento: Tieni premuto il pulsante di attesa per riposare finché qualcosa non ti interrompe.
Tip: Long-press the backpack to open the item catalog.	Suggerimento: Tieni premuto lo zaino per aprire il catalogo degli oggetti.
Tip: Doors and tall grass can break an enemy's line of sight.	Suggerimento: Le porte e l'erba alta possono interrompere la linea di vista di un nemico.
Tip: Throw seeds onto empty tiles to grow useful plants.	Suggerimento: Lancia i semi sulle caselle vuote per far crescere piante utili.
Tip: Search suspicious walls to discover hidden doors and traps.	Suggerimento: Esamina le pareti sospette per scoprire porte nascoste e trappole.
Tip: Examining an enemy reveals useful combat information.	Suggerimento: Esaminare un nemico rivela informazioni utili per il combattimento.
HP: %d/%d\nAccuracy: %d  Evasion: %d\nProtection: 0-%d	PV: %d/%d\nPrecisione: %d  Schivata: %d\nProtezione: 0-%d
Select Your Hero	Scegli il tuo eroe
Game Over	Partita finita
Boss slain	Boss sconfitto
Sacrificial chamber	Camera sacrificale
Killed by an explosion of a bomb on level %d	Ucciso dall'esplosione di una bomba al livello %d
Do you want to respec into %s?	Vuoi cambiare specializzazione in %s?
Yes, I want to respec	Sì, voglio cambiare specializzazione
Maybe later	Forse più tardi
Language	Lingua
Because of frequent use, your %s has broken.	A causa dell'uso frequente, il tuo %s si è rotto.
Because of frequent use, your %s is going to break soon.	A causa dell'uso frequente, il tuo %s sta per rompersi.
bomb	bomba
This is a relatively small bomb, filled with black powder. Conveniently, its fuse is lit automatically when the bomb is thrown.	Una bomba piuttosto piccola, piena di polvere nera. Per fortuna, la miccia si accende da sola quando la bomba viene lanciata.
You killed yourself with a bomb...	Ti sei ucciso con una bomba...
honeypot	vasetto di miele
SHATTER	ROMPI
There is not much honey in this small honeypot, but there is a golden bee there and it doesn't want to leave it.	In questo vasetto non c'è molto miele, ma c'è un'ape dorata che non vuole proprio andarsene.
%s of auto-repair	%s autoriparante
enchantment of viscosity	incantamento della viscosità
The enchantment of viscosity killed you...	L'incantamento della viscosità ti ha ucciso...
phantom fish	pesce fantasma
broken %s	%s rotto
Unequip one ring	Togli un anello
Scroll of Enchantment	Pergamena dell'Incantamento
Select an enchantable item	Seleziona un oggetto incantabile
your %s glows in the dark	la tua %s risplende nell'oscurità
Scroll of Wipe Out	Pergamena dell'Annientamento
You are now familiar enough with your %s.	Ora conosci abbastanza bene il tuo %s.
Wand of Reach	Bacchetta della Portata
shocking %s	%s folgorante
tempered %s	%s temprato
"Your sacrifice is worthy..."	"Il tuo sacrificio è degno..."
"Your sacrifice is unworthy..."	"Il tuo sacrificio non è degno..."
"Your sacrifice is worthy and so you are!"	"Il tuo sacrificio è degno, e lo sei anche tu!"
Sacrificial fire burns here. Every creature touched by this fire is marked as an offering for the spirits of the dungeon.	Qui arde un fuoco sacrificale. Ogni creatura toccata dalle fiamme viene consacrata agli spiriti del dungeon.
Marked for sacrifice	Segnato per il sacrificio
Immune to gases	Immune ai gas
Blinded with rage	Accecato dalla rabbia
Zeroed in	Nel mirino
echo of 	eco di 
curse personification	incarnazione della maledizione
DM-350	DM-350
spawn of Goo	progenie di Goo
King of Dwarves	Re dei Nani
undead King of Dwarves	Re non morto dei Nani
memory of Tengu	ricordo di Tengu
echo of Yog-Dzewa	eco di Yog-Dzewa
Yes, I will do it for you	Sì, lo farò per te
No, I can't help you	No, non posso aiutarti
Any luck with a _phantom fish_, %s? You may want to try searching for it in one of the local pools.	Hai avuto fortuna con il _pesce fantasma_, %s? Prova a cercarlo in una delle pozze qui vicino.
As you try to read the sign it bursts into greenish flames.	Non appena provi a leggere il cartello, questo divampa in fiamme verdastre.
You can spend your gold in shops on deeper levels of the dungeon. The first one is on the 6th level.	Puoi spendere l'oro nei negozi dei livelli più profondi. Il primo si trova al 6º livello.
If you are burning, you can't put out the fire in the water while levitating.	Se stai bruciando, non puoi spegnere il fuoco nell'acqua mentre leviti.
Weapons and armors deteriorate faster than wands and rings, but there are more ways to fix them.	Armi e armature si deteriorano più in fretta di bacchette e anelli, ma esistono più modi per ripararle.
The only way to obtain a Scroll of Wipe Out is to receive it as a gift from the dungeon spirits.	L'unico modo per ottenere una Pergamena dell'Annientamento è riceverla in dono dagli spiriti del dungeon.
Choose language	Scegli la lingua
Key bindings	Assegnazione tasti
Switch to fullscreen	Passa a schermo intero
Switch to windowed	Passa alla modalità finestra
Reset To Defaults	Ripristina predefiniti
<None>	<Nessuno>
Press a key for "%s", or press %s to remove the binding.	Premi un tasto per "%s", oppure %s per rimuovere l'assegnazione.
Hero Info	Informazioni eroe
Wait	Attendi
Search	Cerca
Examine cell	Esamina casella
Resume motion	Riprendi il movimento
Backpack	Zaino
Quickslot	Scorciatoia
Attack	Attacca
Visible Enemies	Nemici visibili
Zoom In	Ingrandisci
Zoom Out	Riduci
Move North	Muovi a nord
Move South	Muovi a sud
Move West	Muovi a ovest
Move East	Muovi a est
Move NW	Muovi a NO
Move NE	Muovi a NE
Move SW	Muovi a SO
Move SE	Muovi a SE
Current Cell	Casella attuale
Pixel Dungeon	Pixel Dungeon
Code & graphics: Watabou\nMusic: Cube_Code\n\nThis game is inspired by Brian Walker's Brogue. Try it on Windows, Mac OS or Linux - it's awesome! ;)\n\nPlease visit official website for additional info:	Codice e grafica: Watabou\nMusica: Cube_Code\n\nQuesto gioco è ispirato a Brogue di Brian Walker. Provalo su Windows, Mac OS o Linux: è fantastico! ;)\n\nVisita il sito ufficiale per ulteriori informazioni:
pixeldungeon.watabou.ru	pixeldungeon.watabou.ru
Languages Create: rodriformiga	Localizzazione: rodriformiga
rodriformiga@gmail.com	rodriformiga@gmail.com
Languages	Lingue
You can barely see this tiny translucent fish in the air. In the water it becomes effectively invisible.	Questo minuscolo pesce traslucido si scorge a malapena nell'aria. Nell'acqua diventa praticamente invisibile.
You can only wear two rings at a time. Unequip one of your equipped rings.	Puoi indossare solo due anelli alla volta. Togliti uno degli anelli che hai equipaggiato.
This scroll is able to imbue a weapon or an armor with a random enchantment, granting it a special power.	Questa pergamena può infondere in un'arma o in un'armatura un incantamento casuale, conferendole un potere speciale.
Read this scroll to unleash the wrath of the dungeon spirits, killing everything on the current level. Well, almost everything. Some of the more powerful creatures may be not affected.	Leggi questa pergamena per scatenare l'ira degli spiriti del dungeon e uccidere ogni cosa su questo piano. Be', quasi ogni cosa: alcune creature più potenti potrebbero resistere.
This utility wand can be used to grab objects from a distance and to switch places with enemies. Waves of magic force radiated from it will affect all cells on their way triggering traps, trampling high vegetation, opening closed doors and closing open ones.	Questa bacchetta versatile permette di afferrare oggetti a distanza e di scambiarsi di posto con i nemici. Le onde di forza magica che emette influenzano tutte le caselle attraversate: fanno scattare trappole, calpestano la vegetazione alta, aprono le porte chiuse e chiudono quelle aperte.
broken %1$s :%2$d	%1$s rotto :%2$d
a broken	rotto
%1$s: "%2$s"	%1$s: "%2$s"
This creature resembles the sad ghost, but it swirls with darkness. Its face bears an expression of despair.	Questa creatura assomiglia al fantasma triste, ma è avvolta da un vortice d'oscurità. Sul suo volto è impressa la disperazione.
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place, as I am bound by a horrid curse... Please... Help me... _Destroy the curse_...	Salve, avventuriero... Un tempo ero come te: forte e sicuro di me... Ora sono morto... Ma non posso lasciare questo luogo, perché una terribile maledizione mi tiene prigioniero... Ti prego... Aiutami... _Spezza la maledizione_...
Thank you, %s! The curse is broken and I can finally rest... Please take one of these items, maybe they will be useful to you in your journey...	Grazie, %s! La maledizione è spezzata e finalmente posso riposare... Prendi uno di questi oggetti: forse ti sarà utile durante il viaggio...
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - a _phantom fish_. You can catch it with your bare hands, but it's very hard to notice in the water. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	Oh, che piacevole sorpresa incontrare una persona perbene in un posto simile! Sono venuto qui per un ingrediente raro: un _pesce fantasma_. Puoi prenderlo a mani nude, ma nell'acqua è quasi impossibile scorgerlo. Con la magia so difendermi dai mostri del luogo, ma mi perdo in continuazione: che vergogna. Potresti aiutarmi? Sarei lieto di ricompensarti con una delle mie bacchette migliori.
1	1
As you take a sip, you feel something changing inside you.	Bevendo un sorso, senti che qualcosa dentro di te sta cambiando.
Disguised as a %s	Travestito da %s
You merged two wands into one %s.	Hai fuso due bacchette per creare %s.
Select a wand to merge	Seleziona una bacchetta da fondere
mob	creatura
freerunner	corridore libero
7-hit combo	combo da 7 colpi
Pharmacophobia	Farmacofobia
Swarm intelligence	Intelligenza dello sciame
Buffs	Potenziamenti
Items	Oggetti
smth	qualcosa
Rotberry	Baccamarcia
crimson	cremisi
bistre	bistro
+1 str, +5 ht	+1 for, +5 sal
ruby	rubino
topaz	topazio
Gotcha, %s!	Preso, %s!
Games played: 	Partite giocate:
A successful attack with a melee weapon allows the _Gladiator_ to start a combo, in which every next successful hit inflicts more damage.	Un attacco in mischia riuscito permette al _Gladiatore_ di iniziare una combo, in cui ogni colpo consecutivo infligge più danni.
The more enemies surround the _Berserker_, the faster he performs his attacks. When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	Più nemici circondano il _Berserker_, più velocemente attacca. Quando è gravemente ferito, il _Berserker_ entra in una furia selvaggia che aumenta notevolmente i danni inflitti.
The caves, which stretch down under the abandoned prison, are sparsely populated. They lie too deep to be exploited by the City and they are too poor in minerals to interest the dwarves. In the past there was a trade outpost somewhere here on the route between these two states, but it has perished since the decline of Dwarven Metropolis. Only omnipresent gnolls and subterranean animals dwell here now.	Le caverne che si estendono sotto la prigione abbandonata sono scarsamente popolate. Sono troppo profonde perché la Città possa sfruttarle e troppo povere di minerali per interessare i nani. Un tempo, lungo la via fra i due regni, sorgeva qui un avamposto commerciale, ma è scomparso con il declino della Metropoli Nanica. Ora vi dimorano soltanto gli onnipresenti gnoll e gli animali sotterranei.
15 monsters killed at nighttime	15 mostri uccisi di notte
That food tasted ok.	Quel cibo non era male.
Paralysed	Paralizzato
Terror	Terrore
As you take a sip, you feel the knowledge pours into your mind. Now you know everything about your equipped items. Also you sense all items on the level and know all its secrets.	Appena ne bevi un sorso, senti la conoscenza riversarsi nella tua mente. Ora sai tutto sugli oggetti che hai equipaggiato. Inoltre, percepisci tutti gli oggetti del livello e ne conosci ogni segreto.
Power of knowledge radiates from the water of this well. Take a sip from it to reveal all secrets of equipped items.	Il potere della conoscenza si irradia dall'acqua di questo pozzo. Bevila per svelare tutti i segreti degli oggetti equipaggiati.
Tome of Remastery	Tomo della Rimaestria
Stairs lead up to the upper depth.	Le scale che salgono conducono al piano superiore.
Stairs lead down to the lower depth.	Le scale che scendono conducono al piano inferiore.
You are crippled!	Sei rallentato!
Rooted	Radicato
\n\n%1$s is carrying a _%2$s_. Stolen obviously.	\n\n%1$s porta con sé un _%2$s_. Chiaramente rubato.
Hey human! Wanna be useful, eh? Take dis pickaxe and mine me some _dark gold ore_, _15 pieces_ should be enough. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	Ehi, umano! Vuoi renderti utile, eh? Prendi questo piccone e scavami un po' di _minerale d'oro scuro_: _15 pezzi_ dovrebbero bastare. Come dici, come ti pagherò? Avido...\nVa bene, va bene, non ho denaro, ma posso forgiare qualcosa per te. Ritieniti fortunato: sono l'unico fabbro nei dintorni.
%s's deathgaze killed you...	Lo sguardo mortale di %s ti ha ucciso...
%s's lightning bolt killed you...	Il fulmine di %s ti ha ucciso...
%s's shadow bolt killed you...	Il dardo d'ombra di %s ti ha ucciso...
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - a _Rotberry seed_. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	Oh, che piacevole sorpresa incontrare una persona perbene in un posto simile! Sono venuto qui per un ingrediente raro: un _seme di Baccamarcia_. So difendermi dai mostri locali con la magia, ma mi perdo in continuazione: che imbarazzo. Potresti aiutarmi? Sarei lieto di ricompensarti con una delle mie bacchette migliori.
Any luck with a _Rotberry seed_, %s? No? Don't worry, I'm not in a hurry.	Hai avuto fortuna con un _seme di Baccamarcia_, %s? No? Non preoccuparti, non ho fretta.
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - _corpse dust_. It can be gathered from skeletal remains and there is an ample number of them in the dungeon. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	Oh, che piacevole sorpresa incontrare una persona perbene in un posto simile! Sono venuto qui per un ingrediente raro: la _polvere di cadavere_. Si può raccogliere dai resti scheletrici, e nel dungeon ce n'è in abbondanza. So difendermi dai mostri locali con la magia, ma mi perdo in continuazione: che imbarazzo. Potresti aiutarmi? Sarei lieto di ricompensarti con una delle mie bacchette migliori.
Welcome to the level %d of Telegram Pixel Dungeon!	Benvenuto al livello %d di Telegram Pixel Dungeon!
Welcome back to the level %d of Telegram Pixel Dungeon!	Bentornato al livello %d di Telegram Pixel Dungeon!
One does not simply leave Telegram Pixel Dungeon.	Non si esce semplicemente da Telegram Pixel Dungeon.
\n\nThis beacon was set somewhere on the level %d of Telegram Pixel Dungeon.	\n\nQuesto faro è stato posizionato da qualche parte nel livello %d di Telegram Pixel Dungeon.
