Play	Oyna
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - _corpse dust_. It can be gathered from skeletal remains and there is an ample number of them in the dungeon. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	Oo, sizin gibi nazik biri ile bu gibi bir yerde karşılaşmak ne güzel bir sürpriz.Buraya zor bulunan bir malzeme için geldim : _Ceset Tozu_. Bir büyücü olarak buradaki yaratıklara karşı kendimi savunabilirim, fakat zamanım çok kısıtlı. Muhtemelen bana yardım edebilirsin. Sana hizmetinin karşılığını en iyi asalarımdan biri ile ödeyebilirim.
Any luck with _corpse dust_, %s? Bone piles are the most obvious places to look.	Ceset tozu araman nasıl gidiyor, %s? Kemik yığınları bakılması gereken en uygun yerler gibi duruyor.
A hidden pressure plate clicks!	Gizli basınç plakasından "tık" sesi gelir!
Floor	Zemin
Grass	Çim
Water	Su
Wall	Duvar
Closed door	Kapalı kapı
Open door	Açık kapı
Depth entrance	Derinliğin girişi
Depth exit	Derinliğin çıkışı
Embers	Köz
Locked door	Kilitli kapı
Pedestal	Temel
Barricade	Barikat
High grass	Uzun otlar
Locked depth exit	Kilitli derinlik çıkışı
Unlocked depth exit	Kilidi açılmış derinlik çıkışı
Sign	Tabela
Well	Kuyu
Empty well	Boş kuyu
Statue	Heykel
Toxic gas trap	Zehirli gaz tuzağı
Fire trap	Ateş tuzağı
Paralytic gas trap	Felç eden gaz tuzağı
Poison dart trap	Zehirli dart tuzağı
Alarm trap	Alarm tuzağı
Lightning trap	Yıldırım tuzağı
Gripping trap	Kapan
Summoning trap	Çağırıcı tuzak
Triggered trap	Tetiklenmiş tuzak
Bookshelf	Kitaplık
Alchemy pot	Simya kabı
\\?\\?\\?	\\?\\?\\?
You can't see the bottom.	Aşağıyı göremezsin.
In case of burning step into the water to extinguish the fire.	Yanma durumunda, ateşi söndürmek için suya girin.
Stairs lead up to the upper depth.	Merdivenler bir üst derinliğe inmenizi sağlar.
Stairs lead down to the lower depth.	Merdivenler bir alt derinliğe geçmenizi sağlar.
Embers cover the floor.	Közler zemini kaplamış.
Dense vegetation blocks the view.	Yoğun bitkiler görüşü engelliyor.
This door is locked, you need a matching key to unlock it.	Bu kapı kilitli, açmak için eşleşen bi anahtara ihtiyacın var.
Heavy bars block the stairs leading down.	Ağır Bir Obje Aşağıya İnen Merdivenleri Kapatıyor.
The wooden barricade is firmly set but has dried over the years. Might it burn?	Ahşap barikat sıkı bir şekilde yerleştirilmiş ancak yıllar boyunca kurumuş. Yanabilir mi?
You can't read the text from here.	Yazıyı buradan okuyamazsın.
Stepping onto a hidden pressure plate will activate the trap.	Gizli bir baskı plakasına basmak tuzağı harekete geçirir.
The trap has been triggered before and it's not dangerous anymore.	Tuzak daha önceden tetiklenmiş ve artık tehlikeli değil.
Someone wanted to adorn this place, but failed, obviously.	Birileri burayı süsleme istemiş ama belli ki başarısız olmuş.
Drop some seeds here to cook a potion.	İksir yapmak için buraya birkaç tohum bırak.
The well has run dry.	Bu kuyu kurumaya yüz tutmuş.
Fluorescent moss	Florasan yosun
Fluorescent mushrooms	Florasan mantar
Freezing cold water.	Dondurucu soğuk su.
The ladder leads up to the upper depth.	Merdiven, bir üst derinliğe inmenizi sağlar.
The ladder leads down to the lower depth.	Aşağı seviyelere inen bir merdiven.
Huge mushrooms block the view.	Büyük mantarlar, görüntüyü engeller.
A vein of some ore is visible on the wall. Gold?	Duvarda bir maden damarı gözüküyor, Altın olmasın?
Who would need a bookshelf in a cave?	Kim bir mağarada kitaplığa ihtiyaç duyar ki?
A ramp leads down to the lower depth.	Aşağıya inen bir rampa.
The statue depicts some dwarf standing in a heroic stance.	Kahramanca poz vermiş cüceyi betimleyen bir heykel.
The rows of books on different disciplines fill the bookshelf.	Çeşitli ilimler hakkında kitaplarla dolu bir kitaplık
Books in ancient languages smolder in the bookshelf.	Antik dillerdeki kitaplar kitaplıkta yanar.
Cold lava	Soğuk lav
Embermoss	Köz yosunu
Emberfungi	Köz mantarı
Pillar	Sütun
It looks like lava, but it's cold and probably safe to touch.	Görünüş olarak lava benziyor, ama bu soğuk, ve dokunmak için muhtemelen güvenli.
The pillar is made of real humanoid skulls. Awesome.	Bu sütun gerçek insan kafatalarından yapılmış. Muhteşem.
Suspiciously colored water	Şüpheli renkli su
High blooming flowers	Çok açan çiçekler
A ramp leads up to the upper depth.	Yukarıya çıkan bir rampa.
A ramp leads down to the Inferno.	Cehenneme İnen Bir Rampa
Several tiles are missing here.	Burada birkaç fayans eksik.
Thick carpet covers the floor.	İpek Bir Halı Zemini Kaplıyor
Dark cold water.	Karanlık soğuk su.
There are old blood stains on the floor.	yerde eski kan lekeleri var.
This is probably a vestige of a prison library. Might it burn?	Muhtelemen Bir hapishane kütüphanesinin kalıntıları acaba Yanabilir mi ?
Murky water	Bulanık su
Wet yellowish moss covers the floor.	Islak sarımsı yosun zemini kaplıyor
The bookshelf is packed with cheap useless books. Might it burn?	Bu  kitaplık tamamen ucuz ve kullanışsız kitapla dolu acaba yanabilir mi ?
Select a seed to throw	Fırlatmak için bir tohum seç
Chasm	Uçurum
Yes, I know what I'm doing	Evet, ne yaptığımı biliyorum
No, I changed my mind	Hayır, fikrimi değiştirdim
Do you really want to jump into the chasm? You can probably die.	Gerçekten uçuruma atlamak istiyor musun? Muhtemelen ölebilirsin.
You fell to death...	la yavaş oğlum nidiyon lan! la ibo... *Düşüp öldün*
What are you doing here?!	Burada ne yapıyorsun?! 
Don't overestimate your strength, use weapons and armor you can handle.	Gücünüzü abartmayın, üstesinden gelebileceğiniz silahlar ve zırhlar kullanın.
Not all doors in the dungeon are visible at first sight. If you are stuck, search for hidden doors.	Zindandaki tüm kapılar ilk bakışta görünmez. Eğer sıkışırsanız, gizli kapıları arayın.
Remember, that raising your strength is not the only way to access better equipment. You can go the other way, lowering its strength requirement with Scrolls of Upgrade.	Daha iyi ekipmanlara erişmenin tek yolunun gücünüzü artırmak olmadığını unutmayın, Yükseltme Parşömenleri ile güç gereksinimini düşürerek diğer yoldan da gidebilirsiniz.
Beware of Goo!	Goo'ya dikkat edin!
Pixel-Mart. All you need for successful adventure!	Pixel-Market - başarılı bir macera için ihtiyacınız olan her şey!
Identify your potions and scrolls as soon as possible. Don't put it off to the moment when you actually need them.	İksirlerinizi ve parşömenlerinizi mümkün olan en kısa sürede belirleyin. Onlara gerçekten ihtiyacınız olduğu ana ertelemeyin.
Being hungry doesn't hurt, but starving does hurt.	Aç olmak acı vermez ama açlıktan ölmek acı verir.
Surprise attack has a better chance to hit. For example, you can ambush your enemy behind a closed door when you know it is approaching.	Sürpriz saldırıların isabet şansı daha yüksektir. Örneğin, yaklaştığını bildiğiniz düşmanınızı kapalı bir kapının arkasında pusuya düşürebilirsiniz.
Don't let The Tengu out!	Tengu'nun çıkmasına izin vermeyin!
Pixel-Mart. Spend money. Live longer.	Pixel-Market. Para harca. Daha uzun yaşa.
When you're attacked by several monsters at the same time, try to retreat behind a door.	Aynı anda birkaç canavar tarafından saldırıya uğradığınızda, bir kapının arkasına çekilmeye çalışın.
There is no sense in possessing more than one Ankh at the same time, because you will lose them upon resurrecting.	Aynı anda birden fazla Ankh'a sahip olmanın bir anlamı yoktur, çünkü dirildiğinizde onları kaybedersiniz.\nEnvanterinizdeki eşyaları ölüp dirilmeden hemen önce yere atmayı deneyin!
DANGER! Heavy machinery can cause injury, loss of limbs or death!	TEHLİKE! Ağır makineler yaralanmalara, uzuv kaybına veya ölüme neden olabilir!
Pixel-Mart. A safer life in dungeon.	Pixel-Market. Zindanda daha güvenli bir hayat.
When you upgrade an enchanted weapon, there is a chance to destroy that enchantment.	Büyülü bir silahı geliştirdiğinizde, o büyüyü yok etme şansınız vardır.
No weapons allowed in the presence of His Majesty!	Majestelerinin huzurunda silaha izin yok!
Pixel-Mart. Special prices for demon hunters!	Pixel-Market. İblis avcıları için özel fiyatlar!
The trap emits a piercing sound that echoes throughout the dungeon!	Tuzağın çıkardığı kulak kanatan ses zindan boyunca yankılanıyor!
lightning trap	yıldırım tuzağı
You were killed by a discharge of a lightning trap...	Şimşek tuzağının çakmasıyla öldün...
You don't know what is there.	Burada ne var bilmiyorsun.
Select a cell to examine	Kontrol edilecek bir hücre seç
LibGDX port: Arcnor / Web port: nojus297	LibGDX portu: Arcnor / web portu: nojus297
Telegram port: @barboskich	Telegram portu: @barboskich
Select Your Hero	Kahramanını seç
Game Over	Oyun bitti
Boss slain	Boss yenildi
Sacrificial chamber	Kurban odası
Killed by an explosion of a bomb on level %d	%d. katta bir bombanın patlamasıyla öldün
Do you want to respec into %s?	Uzmanlığını %s olarak değiştirmek istiyor musun?
Yes, I want to respec	Evet, uzmanlığımı değiştirmek istiyorum
Maybe later	Belki sonra
Language	Dil
Because of frequent use, your %s has broken.	Sık kullanımdan dolayı %s kırıldı.
Because of frequent use, your %s is going to break soon.	Sık kullanımdan dolayı %s yakında kırılacak.
bomb	bomba
This is a relatively small bomb, filled with black powder. Conveniently, its fuse is lit automatically when the bomb is thrown.	Bu, kara barutla doldurulmuş küçükçe bir bomba. Neyse ki fırlatıldığında fitili kendiliğinden yanıyor.
You killed yourself with a bomb...	Kendini bir bombayla öldürdün...
honeypot	bal küpü
SHATTER	PARÇALA
There is not much honey in this small honeypot, but there is a golden bee there and it doesn't want to leave it.	Bu küçük küpte pek bal yok, ama içindeki altın arı yuvasını terk etmek istemiyor.
%s of auto-repair	kendini onaran %s
enchantment of viscosity	viskozite büyüsü
The enchantment of viscosity killed you...	Viskozite büyüsü seni öldürdü...
phantom fish	hayalet balık
broken %s	kırık %s
Unequip one ring	Bir yüzüğü çıkar
Scroll of Enchantment	Büyüleme Parşömeni
Select an enchantable item	Büyülenebilecek bir eşya seç
your %s glows in the dark	%s karanlıkta parlıyor
Scroll of Wipe Out	Yok Etme Parşömeni
You are now familiar enough with your %s.	Artık %s ile yeterince aşinasın.
Wand of Reach	Uzanma Asası
shocking %s	elektrikli %s
tempered %s	tavlanmış %s
"Your sacrifice is worthy..."	"Kurbanın buna layık..."
"Your sacrifice is unworthy..."	"Kurbanın buna layık değil..."
"Your sacrifice is worthy and so you are!"	"Kurbanın layık; sen de öylesin!"
Sacrificial fire burns here. Every creature touched by this fire is marked as an offering for the spirits of the dungeon.	Burada kurban ateşi yanıyor. Bu ateşe dokunan her yaratık, zindanın ruhlarına sunulmak üzere işaretlenir.
Marked for sacrifice	Kurban olarak işaretlendi
Immune to gases	Gazlara karşı bağışık
Blinded with rage	Öfkeden gözü dönmüş
Zeroed in	Hedefe kilitli
echo of 	yankı: 
curse personification	lanetin vücut bulmuş hâli
DM-350	DM-350
spawn of Goo	Goo'nun yavrusu
King of Dwarves	Cüceler Kralı
undead King of Dwarves	ölümsüz Cüceler Kralı
undead dwarf	hortlak cüce
memory of Tengu	Tengu'nun hatırası
echo of Yog-Dzewa	Yog-Dzewa'nın yankısı
Yes, I will do it for you	Evet, senin için yapacağım
No, I can't help you	Hayır, sana yardım edemem
Any luck with a _phantom fish_, %s? You may want to try searching for it in one of the local pools.	_Hayalet balığı_ bulabildin mi, %s? Buradaki su birikintilerinden birine bakmayı dene.
As you try to read the sign it bursts into greenish flames.	Tabelayı okumaya çalıştığında yeşilimsi alevler içinde kalıyor.
You can spend your gold in shops on deeper levels of the dungeon. The first one is on the 6th level.	Altınını zindanın daha derinlerindeki dükkânlarda harcayabilirsin. İlki 6. katta.
If you are burning, you can't put out the fire in the water while levitating.	Yanıyorsan havada süzülürken suya girerek ateşi söndüremezsin.
Weapons and armors deteriorate faster than wands and rings, but there are more ways to fix them.	Silahlar ve zırhlar, asalara ve yüzüklere göre daha çabuk yıpranır; ama onları onarmanın daha çok yolu vardır.
The only way to obtain a Scroll of Wipe Out is to receive it as a gift from the dungeon spirits.	Yok Etme Parşömeni'ni elde etmenin tek yolu, onu zindan ruhlarından armağan olarak almaktır.
Choose language	Dil seç
Key bindings	Tuş atamaları
Switch to fullscreen	Tam ekrana geç
Switch to windowed	Pencere moduna geç
Reset To Defaults	Varsayılanlara dön
<None>	<Yok>
Press a key for "%s", or press %s to remove the binding.	“%s” için bir tuşa bas veya atamayı kaldırmak için %s tuşuna bas.
Hero Info	Kahraman bilgisi
Wait	Bekle
Search	Ara
Examine cell	Hücreyi incele
Resume motion	Harekete devam et
Backpack	Sırt çantası
Quickslot	Hızlı yuva
Attack	Saldır
Visible Enemies	Görünen düşmanlar
Zoom In	Yakınlaştır
Zoom Out	Uzaklaştır
Move North	Kuzeye git
Move South	Güneye git
Move West	Batıya git
Move East	Doğuya git
Move NW	Kuzeybatıya git
Move NE	Kuzeydoğuya git
Move SW	Güneybatıya git
Move SE	Güneydoğuya git
Current Cell	Mevcut hücre
Pixel Dungeon	Pixel Dungeon
Code & graphics: Watabou\nMusic: Cube_Code\n\nThis game is inspired by Brian Walker's Brogue. Try it on Windows, Mac OS or Linux - it's awesome! ;)\n\nPlease visit official website for additional info:	Kod ve grafikler: Watabou\nMüzik: Cube_Code\n\nBu oyun Brian Walker'ın Brogue adlı eserinden ilham almıştır. Windows, Mac OS veya Linux'ta deneyin; harika bir oyundur! ;)\n\nDaha fazla bilgi için resmî siteyi ziyaret edin:
pixeldungeon.watabou.ru	pixeldungeon.watabou.ru
Languages Create: rodriformiga	Yerelleştirme: rodriformiga
rodriformiga@gmail.com	rodriformiga@gmail.com
Languages	Diller
You can barely see this tiny translucent fish in the air. In the water it becomes effectively invisible.	Bu küçük, yarı saydam balık havada bile güçlükle seçiliyor. Suyun içinde ise neredeyse tamamen görünmez oluyor.
You can only wear two rings at a time. Unequip one of your equipped rings.	Aynı anda yalnızca iki yüzük takabilirsin. Takılı yüzüklerinden birini çıkar.
This scroll is able to imbue a weapon or an armor with a random enchantment, granting it a special power.	Bu parşömen bir silaha veya zırha rastgele bir büyü işleyerek ona özel bir güç kazandırabilir.
Read this scroll to unleash the wrath of the dungeon spirits, killing everything on the current level. Well, almost everything. Some of the more powerful creatures may be not affected.	Bu parşömeni okuyarak zindan ruhlarının öfkesini serbest bırakabilir ve mevcut kattaki her şeyi öldürebilirsin. Daha doğrusu, neredeyse her şeyi. Güçlü yaratıkların bazıları etkilenmeyebilir.
This utility wand can be used to grab objects from a distance and to switch places with enemies. Waves of magic force radiated from it will affect all cells on their way triggering traps, trampling high vegetation, opening closed doors and closing open ones.	Bu kullanışlı asa uzaktaki nesneleri çekmek ve düşmanlarla yer değiştirmek için kullanılabilir. Yaydığı büyülü kuvvet dalgaları geçtiği bütün hücreleri etkiler; tuzakları tetikler, uzun otları ezer, kapalı kapıları açar ve açık kapıları kapatır.
broken %1$s :%2$d	kırık %1$s :%2$d
a broken	kırık
%1$s: "%2$s"	%1$s: “%2$s”
This creature resembles the sad ghost, but it swirls with darkness. Its face bears an expression of despair.	Bu yaratık üzgün hayalete benziyor, fakat çevresinde karanlık dönüp duruyor. Yüzünde umutsuz bir ifade var.
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place, as I am bound by a horrid curse... Please... Help me... _Destroy the curse_...	Merhaba maceracı... Bir zamanlar ben de senin gibiydim; güçlü ve kendime güvenen... Şimdiyse ölüyüm... Korkunç bir lanet beni buraya bağladığı için bu yeri terk edemiyorum... Lütfen... Bana yardım et... _Laneti yok et_...
Thank you, %s! The curse is broken and I can finally rest... Please take one of these items, maybe they will be useful to you in your journey...	Teşekkür ederim, %s! Lanet bozuldu ve sonunda huzur bulabilirim... Lütfen bu eşyalardan birini al; yolculuğunda işine yarayabilir...
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - a _phantom fish_. You can catch it with your bare hands, but it's very hard to notice in the water. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	Aa, böyle bir yerde düzgün birine rastlamak ne hoş bir sürpriz! Buraya nadir bir malzeme, bir _hayalet balığı_ bulmaya geldim. Onu çıplak elle yakalayabilirsin, ama suda fark etmek çok zordur. Büyü kullanabildiğim için buradaki canavarlara karşı kendimi koruyabiliyorum, fakat hemen yolumu kaybediyorum; doğrusu çok utanç verici. Belki bana yardım edebilirsin? Hizmetinin karşılığında en iyi asalarımdan birini memnuniyetle veririm.
1	1
As you take a sip, you feel something changing inside you.	Bir yudum alınca içinde bir şeylerin değiştiğini hissediyorsun.
Disguised as a %s	Kılık değiştirme: %s
You merged two wands into one %s.	İki asayı birleştirerek %s oluşturdun.
Select a wand to merge	Birleştirilecek bir asa seç
smth	bir şey
purpleheart	mor kalp ağacı
dart	ok
Games played: 	Oynanan oyun:
A successful attack with a melee weapon allows the _Gladiator_ to start a combo, in which every next successful hit inflicts more damage.	Başarılı bir yakın dövüş saldırısı _Gladyatörün_ kombo başlatmasını sağlar; art arda isabet eden her darbe daha fazla hasar verir.
The more enemies surround the _Berserker_, the faster he performs his attacks. When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	_Çılgını_ ne kadar çok düşman kuşatırsa o kadar hızlı saldırır. Ağır yaralandığında _Çılgın_ vahşi bir öfkeye kapılır ve verdiği hasar büyük ölçüde artar.
The caves, which stretch down under the abandoned prison, are sparsely populated. They lie too deep to be exploited by the City and they are too poor in minerals to interest the dwarves. In the past there was a trade outpost somewhere here on the route between these two states, but it has perished since the decline of Dwarven Metropolis. Only omnipresent gnolls and subterranean animals dwell here now.	Terk edilmiş hapishanenin altına uzanan mağaralarda pek az canlı yaşar. Şehrin yararlanamayacağı kadar derinde, cücelerin ilgisini çekmeyecek kadar da mineral bakımından yoksuldurlar. Eskiden iki krallık arasındaki yol üzerinde burada bir ticaret karakolu bulunurdu, ancak Cüce Metropolü'nün çöküşüyle birlikte yok oldu. Artık burada yalnızca her yerde rastlanan gnoller ve yeraltı hayvanları yaşar.
15 monsters killed at nighttime	Gece 15 canavar öldürüldü
That food tasted ok.	Yemeğin tadı fena değildi.
Paralysed	Felç
Terror	Dehşet
